code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
01001,L'Abergement-Clémenciat,01,3220.607801380492,15
01004,Ambérieu-en-Bugey,01,2905.13245658516,206
01005,Ambérieux-en-Dombes,01,3443.14633660674,36
01007,Ambronay,01,2355.8063948231643,40
01009,Andert-et-Condon,01,1975.8550085064358,8
01010,Anglefort,01,2752.8341446560717,31
01012,Aranc,01,1833.715984986477,9
01014,Arbent,01,1957.466180693638,31
01015,Arboys en Bugey,01,1926.5268799856049,9
01016,Arbigny,01,2292.6687855282685,10
01017,Argis,01,1573.213784404002,13
01021,Ars-sur-Formans,01,3862.2634897563057,9
01022,Artemare,01,2129.4554454000313,21
01024,Attignat,01,2595.2504055923796,49
01025,Bâgé-Dommartin,01,2345.598599608527,50
01026,Bâgé-le-Châtel,01,2397.099984640678,10
01027,Balan,01,2932.1869187651605,13
01028,Baneins,01,3001.0852713708255,9
01029,Beaupont,01,1509.4591640194217,11
01030,Beauregard,01,2286.9653324035617,9
01031,Bellignat,01,1862.2577100524072,35
01032,Béligneux,01,3250.705727568109,36
01033,Valserhône,01,3322.7734850679435,294
01034,Belley,01,2695.009115458735,150
01036,Valromey-sur-Séran,01,2079.450093599742,17
01038,Bény,01,1548.2174351221972,6
01041,Bettant,01,9830.835936041683,25
01043,Beynost,01,3960.277828974241,55
01046,Biziat,01,2316.988504849936,19
01047,Blyes,01,2968.8355467561814,17
01049,La Boisse,01,3281.8700470325343,39
01050,Boissey,01,1810.1197859853964,10
01053,Bourg-en-Bresse,01,3025.1964952147464,776
01054,Bourg-Saint-Christophe,01,2833.0292295944073,16
01057,Boz,01,2281.486964051676,7
01058,Brégnier-Cordon,01,2026.5304765094504,15
01061,Brens,01,2420.600529070005,19
01062,Bressolles,01,5568.2483894098805,13
01064,Briord,01,2191.022731448232,15
01065,Buellas,01,4087.223538151555,29
01069,Certines,01,2498.089655688843,23
01071,Cessy,01,5400.001583882204,77
01072,Ceyzériat,01,2636.943568676007,52
01073,Ceyzérieu,01,2712.751657970246,17
01074,Chalamont,01,2763.2060574871352,22
01075,Chaleins,01,4645.951118681972,24
01078,Challex,01,5451.5569147488095,23
01079,Champagne-en-Valromey,01,2575.335857056591,8
01080,Champdor-Corcelles,01,2224.0026821994034,6
01081,Champfromier,01,2079.704770074532,12
01083,Chaneins,01,3240.564380157394,29
01084,Chanoz-Châtenay,01,2088.9213223625816,11
01088,Charnoz-sur-Ain,01,3367.8876889156313,15
01089,Château-Gaillard,01,3553.1154458394662,26
01090,Châtenay,01,2287.182524831709,8
01092,Châtillon-la-Palud,01,2347.2983781883386,19
01093,Châtillon-sur-Chalaronne,01,2976.9893972826426,82
01094,Chavannes-sur-Reyssouze,01,1918.128557551097,17
01095,Nivigne et Suran,01,1485.5679867960669,10
01096,Chaveyriat,01,2737.254121413225,9
01098,Chazey-Bons,01,2131.593729021017,14
01099,Chazey-sur-Ain,01,3041.737624219217,15
01102,Chevroux,01,2151.1382307236304,13
01103,Chevry,01,4752.956263528325,33
01104,Chézery-Forens,01,7400.808702462285,23
01105,Civrieux,01,3743.8827638766315,23
01108,Coligny,01,1616.1414652279186,30
01109,Collonges,01,4403.663862787378,49
01111,Conand,01,1968.507552106559,8
01112,Condamine,01,2209.80845838858,7
01113,Condeissiat,01,2037.262204533396,10
01114,Confort,01,2727.842354674567,9
01115,Confrançon,01,2022.977328922933,28
01116,Contrevoz,01,1949.3305408210606,16
01118,Corbonod,01,3672.27951586822,18
01123,Cormoranche-sur-Saône,01,2560.189616420922,16
01124,Cormoz,01,2322.055015332905,19
01125,Corveissiat,01,1388.4061042050653,23
01127,Courmangoux,01,1890.8760044811488,13
01128,Courtes,01,1852.1416062110782,8
01130,Bresse Vallons,01,2059.1490351597013,27
01134,Crottet,01,2289.0738310411025,20
01135,Crozet,01,5417.257649188897,28
01136,Cruzilles-lès-Mépillat,01,2398.9665725763857,9
01138,Culoz,01,2632.0894791268597,61
01139,Curciat-Dongalon,01,2074.520815637261,6
01140,Curtafond,01,2337.4459570184717,6
01141,Cuzieu,01,2251.5897784113886,9
01142,Dagneux,01,4461.481559168518,67
01143,Divonne-les-Bains,01,6977.791466602457,202
01145,Dompierre-sur-Veyle,01,2643.763472452733,11
01146,Dompierre-sur-Chalaronne,01,2776.3660187114106,11
01147,Domsure,01,2128.2824254801226,8
01148,Dortan,01,2285.618248346299,13
01149,Douvres,01,2367.5578301723176,10
01151,Druillat,01,2648.790511997025,20
01152,Échallon,01,3156.980808389769,9
01153,Échenevex,01,4675.688951110829,34
01156,Faramans,01,3692.1971422926126,8
01157,Fareins,01,3218.1015356162293,24
01158,Farges,01,4351.7476785334375,19
01159,Feillens,01,2231.8662761863898,41
01160,Ferney-Voltaire,01,5029.943407495723,181
01163,Foissiat,01,2007.2876097695673,28
01165,Francheleins,01,2796.1337268403004,14
01166,Frans,01,2865.3687917189286,66
01167,Garnerans,01,3003.737369526389,9
01169,Genouilleux,01,2547.4021989961734,7
01171,Géovreisset,01,1962.649661454902,7
01173,Gex,01,4493.070775390395,254
01175,Gorrevod,01,1780.0217796861405,7
01179,Grièges,01,2784.4345197159664,31
01180,Grilly,01,8052.150343401076,16
01183,Guéreins,01,4165.946324548431,27
01184,Hautecourt-Romanèche,01,3977.446747492409,16
01185,Plateau d'Hauteville,01,2372.7490936891677,84
01187,Haut Valromey,01,2191.5404094884643,15
01189,Injoux-Génissiat,01,4153.008339417596,12
01192,Izernore,01,1779.4556777500704,19
01194,Jassans-Riottier,01,3872.47062839932,77
01195,Jasseron,01,2358.5385521781354,20
01196,Jayat,01,2027.9100743403994,18
01199,Jujurieux,01,2031.5146008497006,28
01202,Lagnieu,01,2645.01150979196,98
01203,Laiz,01,2540.921150367104,14
01204,Le Poizat-Lalleyriat,01,2588.6385881486867,10
01209,Léaz,01,3098.4621317268998,23
01210,Lélex,01,2516.1921072183563,27
01211,Lent,01,4336.808541060069,24
01212,Lescheroux,01,1749.9249682087923,17
01213,Leyment,01,2667.37618506266,16
01216,Lhuis,01,1975.0349202949271,13
01224,Loyettes,01,2830.1406694028224,47
01227,Magnieu,01,2490.2448238052025,6
01229,Malafretaz,01,2855.244471402017,9
01231,Manziat,01,2148.0719741550834,20
01232,Marboz,01,2199.623651064801,43
01235,Marlieux,01,2746.460972563311,21
01236,Marsonnas,01,1937.527221183656,20
